"","MovieName","TrailerLink","youtubeView","youtubeLike","youtubeDisLike","Revenue","FacebookMovieLike","actExp","Budget","Opening_Weekend_Gross","ReleasePeriod","runtime","Screen","Sequel","MPAA_Rating","Genre","ROI","Success"
"437","The Killer Inside Me (2010 film)","1I4rDHxzeCg",220438,103,15,217277,6168,24,14118000,11476,14118000,109,1,0,1,1100001,-0.984609930585069,FALSE
"438","Prince Avalanche","gJGEu268KvI",688602,1875,120,205139,8101,77,736600,36874,736600,94,14,0,1,10100000,-0.72150556611458,FALSE
"439","Touchback (film)","J0rAWFJ3KFc",1430452,2275,152,204232,584,14,5155000,68760,5155000,118,50,0,10,100000,-0.960381765276431,FALSE
"440","High School (2012 film)","dIim4QmU_c0",2058443,4886,495,139034,5334820,39,10310000,84922,10310000,99,200,0,1,10000000,-0.986514645974782,FALSE
"441","The Greatest (2009 film)","TfjNuq9Yq3s",238599,566,14,114766,5897,10,6516000,34808,6516000,99,8,0,1,100100,-0.982387047268263,FALSE
"442","The Romantics (film)","mVWVD7DnNag",64578,29,3,106524,214269,18,4887000,47142,4887000,95,2,0,10,10100100,-0.978202578268877,FALSE
"443","Freakonomics (film)","GaGzVcWuyR4",137263,239,30,101270,379847,11,3258000,33024,3258000,93,20,0,10,0,-0.968916513198281,FALSE
"444","The Good Guy (film)","EFW_pPc6dO4",205138,0,0,100688,376077,15,3475200,35943,3475200,90,9,0,1,10000100,-0.971026703499079,FALSE
"445","Welcome to the Jungle (2013 film)","YLcYL38fcUE",88659,85,14,87397,9718,34,86360000,18625000,86360000,104,3152,0,10,1110000001,-0.998987992125984,FALSE
"446","Better Living Through Chemistry (film)","T66eklvAqUw",1449452,2517,153,75143,7225,76,5000000,46435,5000000,91,61,0,1000,10100000,-0.9849714,FALSE
"447","No One Lives","Z4HxhzBG0ag",786369,1218,161,74918,8232,15,2946400,48033,2946400,86,53,0,1,10001,-0.974573038284008,FALSE
"448","Deadfall (2012 film)","Q4IASREmPMY",326909,594,32,66351,33025,23,12372000,19902,12372000,95,11,0,0,1100001,-0.994637002909796,FALSE
"449","Cheap Thrills","gPMKb2ubuDQ",584276,978,71,59424,6635,60,200000,18638,200000,88,2,0,1000,11100001,-0.70288,FALSE
"450","Aftershock (2012 film)","VoyGUt5PIQ8",276643,952,225,58510,2576,19,2032000,40376,2032000,89,110,0,1,10001,-0.971205708661417,FALSE
"451","Dirty Girl (2010 film)","Qy3eAiB5UPo",2403250,2775,288,55125,24649,9,4204000,18399,4204000,90,9,0,1,10100000,-0.986887488106565,FALSE
"452","Decoding Annie Parker","yejorH_XH7A",547031,1746,93,48390,4816,43,2000000,16781,2000000,91,13,0,1,100000,-0.975805,FALSE
"453","Margaret (2011 film)","YbVQ2ygudRc",5282,2,0,46495,1630,30,14714000,7752,14714000,150,2,0,1,100000,-0.996840084273481,FALSE
"454","Beyond the Farthest Star (film)","iKayhS8eS5k",2410,27,1,31433,20197,37,508000,19336,508000,119,3,0,10,100001,-0.938124015748032,FALSE
"455","The Son of No One","7U9OslXVjdM",214156,244,15,30680,4177,43,15765000,18560,15765000,90,11,0,1,1100001,-0.998053916904535,FALSE
"456","Trespass (2011 film)","1rolBdc_mjs",2403438,1573,237,24094,1146,59,36785000,17324,36785000,91,10,0,1,1100001,-0.999345004757374,FALSE
"457","California Solo","5nfkvOJQRXk",106476,528,21,15433,2287,53,206200,3502,206200,94,1,0,1000,100000,-0.92515518913676,FALSE
